SAPRC11,mol,OLE2,75.78
SAPRC11,mol,ISOP,68.12
SAPRC11,mol,TERP,136.24
SAPRC11,mol,BENZ,78.11
SAPRC11,mol,ARO1,95.16
SAPRC11,mol,ARO2,118.72
SAPRC11,mol,ACYL,26.04
SAPRC11,mol,HCHO,30.03
SAPRC11,mol,CCHO,44.05
SAPRC11,mol,RCHO,58.08
SAPRC11,mol,MACR,70.09
SAPRC11,mol,IPRD,100.12
SAPRC11,mol,BALD,106.13
SAPRC11,mol,ACET,58.08
SAPRC11,mol,MEK,72.11
SAPRC11,mol,PROD2,116.16
SAPRC11,mol,MVK,70.09
SAPRC11,mol,MEOH,32.04
SAPRC11,mol,HCOOH,46.03
SAPRC11,mol,CCOOH,60.05
SAPRC11,mol,RCOOH,74.08
SAPRC11,mol,GLY,58.04
SAPRC11,mol,MGLY,72.07
SAPRC11,mol,BACL,86.09
SAPRC11,mol,PHEN,94.11
SAPRC11,mol,CRES,108.14
SAPRC11,mol,XYNL,122.16
SAPRC11,mol,CATL,110.11
SAPRC11,mass,NROG,1
SAPRC11,mass,NVOL,1
SAPRC11D,mol,CH4,16.04
SAPRC11D,mol,ETHE,28.05
SAPRC11D,mol,ISOP,68.12
SAPRC11D,mol,BENZ,78.11
SAPRC11D,mol,ACYL,26.04
SAPRC11D,mol,ETHANE,30.07
SAPRC11D,mol,PROPANE,44.10
SAPRC11D,mol,NC4,58.12
SAPRC11D,mol,M2C3,58.12
SAPRC11D,mol,NC5,72.15
SAPRC11D,mol,M2C4,72.15
SAPRC11D,mol,CYCC5,70.13
SAPRC11D,mol,NC6,86.18
SAPRC11D,mol,M22C4,86.18
SAPRC11D,mol,M23C4,86.18
SAPRC11D,mol,M2C5,86.18
SAPRC11D,mol,M3C5,86.18
SAPRC11D,mol,CYCC6,84.16
SAPRC11D,mol,MECYCC5,84.16
SAPRC11D,mol,NC7,100.20
SAPRC11D,mol,M223C4,100.20
SAPRC11D,mol,M22C5,100.20
SAPRC11D,mol,M23C5,100.20
SAPRC11D,mol,M24C5,100.20
SAPRC11D,mol,M2C6,100.20
SAPRC11D,mol,M33C5,100.20
SAPRC11D,mol,M3C6,100.20
SAPRC11D,mol,ET3C5,100.20
SAPRC11D,mol,M11CC5,98.19
SAPRC11D,mol,M12CC5,98.19
SAPRC11D,mol,CYCC7,98.19
SAPRC11D,mol,M13CYC5,98.19
SAPRC11D,mol,ETCYCC5,98.19
SAPRC11D,mol,NC8,114.23
SAPRC11D,mol,BRC8,114.23
SAPRC11D,mol,M224C5,114.23
SAPRC11D,mol,M22C6,114.23
SAPRC11D,mol,M234C5,114.23
SAPRC11D,mol,M23C6,114.23
SAPRC11D,mol,M24C6,114.23
SAPRC11D,mol,M25C6,114.23
SAPRC11D,mol,M2C7,114.23
SAPRC11D,mol,M3C7,114.23
SAPRC11D,mol,M4C7,114.23
SAPRC11D,mol,M233C5,114.23
SAPRC11D,mol,M34C6,114.23
SAPRC11D,mol,E3M2C5,114.23
SAPRC11D,mol,M112CC5,112.21
SAPRC11D,mol,M113CC5,112.21
SAPRC11D,mol,M11CC6,112.21
SAPRC11D,mol,M14CC6,112.21
SAPRC11D,mol,CYCC8,112.21
SAPRC11D,mol,M13CYC6,112.21
SAPRC11D,mol,NC9,128.26
SAPRC11D,mol,BRC9,128.26
SAPRC11D,mol,M225C6,128.26
SAPRC11D,mol,M235C6,128.26
SAPRC11D,mol,M24C7,128.26
SAPRC11D,mol,M2C8,128.26
SAPRC11D,mol,M35C7,128.26
SAPRC11D,mol,M4C8,128.26
SAPRC11D,mol,M33C7,128.26
SAPRC11D,mol,M224C6,128.26
SAPRC11D,mol,M26C7,128.26
SAPRC11D,mol,M25C7,128.26
SAPRC11D,mol,M3C8,128.26
SAPRC11D,mol,ET3C7,128.26
SAPRC11D,mol,M123CC6,126.24
SAPRC11D,mol,M135CC6,126.24
SAPRC11D,mol,M113CC6,126.24
SAPRC11D,mol,E1M4CC6,126.24
SAPRC11D,mol,C3CYCC6,126.24
SAPRC11D,mol,CYCC9,126.24
SAPRC11D,mol,NC10,142.28
