40,"1,2-dimethylcyclopentane","2452-99-5","","99101",0,0,"",98.18606,0,,,,,98.18606,-99,,"Known compounds or mixtures"
41,"1,2-epoxybutane","106-88-7","","99191",0,1,"",72.10572,0,,,,,72.10572,-99,,"Known compounds or mixtures"
42,"1,2-propadiene","463-49-0","","43208",0,0,"",40.06386,0,,,,,40.06386,-99,,"Known compounds or mixtures"
43,"1,3,5-triethylbenzene","102-25-0","","91117",0,0,"",162.27132,0,,,,,162.27132,-99,,"Known compounds or mixtures"
44,"1,3,5-trimethylbenzene","108-67-8","","45207",1,0,"BZ135M",120.19158,0,,,,,120.19158,-99,,"Known compounds or mixtures"
45,"1,3,5-trimethylcyclohexane","1839-63-0","","98061",0,0,"",126.23922,0,,,,,126.23922,-99,,"Known compounds or mixtures"
46,"1,3-butadiene","106-99-0","","43218",0,1,"BUDI13",54.09044,0,,,,,54.09044,-99,,"Known compounds or mixtures"
47,"1,3-butadiyne","460-12-8","","43222",0,0,"",50.05868,0,,,,,50.05868,-99,,"Known compounds or mixtures"
48,"1,3-cyclopentadiene","542-92-7","","90026",0,0,"",66.10114,0,,,,,66.10114,-99,,"Known compounds or mixtures"
49,"1,3-dichlorobenzene  (m-dichlorobenzene)","541-73-1","","99289",0,0,"",147.00196,0,,,,,147.00196,-99,,"Known compounds or mixtures"
50,"1,3-dichloropropene","542-75-6","","60001",0,1,"",110.96986,0,,,,,110.96986,-99,,"Known compounds or mixtures"
51,"1,3-diethylbenzene (meta)","141-93-5","","45113",1,0,"DETBZ1",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
52,"1,3-dimethyl-2-ethylbenzene","354381","","45253",0,0,"",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
53,"1,3-dimethyl-4-ethylbenzene","874-41-9","","45251",0,0,"",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
54,"1,3-dimethyl-4-isopropylbenzene","4706-89-2","","99065",0,0,"",148.24474,0,,,,,148.24474,-99,,"Known compounds or mixtures"
55,"1,3-dimethyl-5-ethylbenzene","934-74-7","","45257",0,0,"",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
56,"1,3-dioxolane","646-06-0","","99220",0,0,"",74.07854,0,,,,,74.07854,-99,,"Known compounds or mixtures"
57,"1,3-dipropylbenzene","17171-72-1","","45237",0,0,"",162.27132,0,,,,,162.27132,-99,,"Known compounds or mixtures"
58,"1,3-n-dipropylbenzene","17171-72-1","","91116",0,0,"",162.27132,0,,,,,162.27132,-99,,"Known compounds or mixtures"
59,"1,4-diethylbenzene (para)","105-05-5","","45114",1,0,"DETBZ2",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
60,"1,4-dimethyl-2-ethylbenzene","1758-88-9","","45250",0,0,"",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
61,"1,4-dioxane","123-91-1","","46201",0,1,"",88.10512,0,,,,,88.10512,-99,,"Known compounds or mixtures"
62,"1,4-isodipropylbenzene","577-55-9","","91113",0,0,"",162.27132,0,,,,,162.27132,-99,,"Known compounds or mixtures"
63,"1-(1,1-dimethylethyl)-3,5-dimethylbenzene  (or tert-butyl-3,5-dimethylbenzene)","98-19-1","","45256",0,0,"",162.27132,0,,,,,162.27132,-99,,"Known compounds or mixtures"
64,"1-butene","106-98-9","","43213",1,0,"LBUT1E",56.10632,0,,,,,56.10632,-99,,"Known compounds or mixtures"
65,"1-butyne","107-00-6","","98131",0,0,"",54.09044,0,,,,,54.09044,-99,,"Known compounds or mixtures"
66,"1-decene, dimer, hydrogenated","68649-11-6","","99269",0,0,"",137.19212,0,,,,,137.19212,-99,,"Unknown mixture. Mwt of REPUNK mixture used"
67,"1-ethyl-1,2-dimethylcyclohexane","824-01-1","","99061",0,0,"",140.26580,0,,,,,140.26580,-99,,"Known compounds or mixtures"
